Lower layer Super Output Areas Code,Lower layer Super Output Areas,Observation
E01000190,Barnet 014E,569
E01000191,Barnet 014F,555
E01000192,Barnet 018A,710
E01000193,Barnet 018B,711
E01000194,Barnet 018C,704
E01000195,Barnet 013A,719
E01000196,Barnet 028A,1092
E01000197,Barnet 023A,731
E01000198,Barnet 025A,779
E01000199,Barnet 025B,657
E01000200,Barnet 028B,875
E01000201,Barnet 028C,526
E01000202,Barnet 028D,616
E01000203,Barnet 028E,684
E01000204,Barnet 025C,693
E01000205,Barnet 035A,605
E01000206,Barnet 033B,523
E01000207,Barnet 033C,644
E01000208,Barnet 033D,635
E01000209,Barnet 035B,742
E01000210,Barnet 033E,585
E01000211,Barnet 035C,925
E01000212,Barnet 035D,552
E01000213,Barnet 033F,452
E01000214,Barnet 038E,772
E01000215,Barnet 037B,707
E01000216,Barnet 035E,721
E01000217,Barnet 035F,553
E01000218,Barnet 037C,583
E01000219,Barnet 037D,659
E01000220,Barnet 037E,681
E01000221,Barnet 039B,528
E01000222,Barnet 040C,730
E01000223,Barnet 039C,746
E01000224,Barnet 040D,557
E01000225,Barnet 037F,578
E01000226,Barnet 018D,601
E01000227,Barnet 018E,599
E01000228,Barnet 007A,459
E01000229,Barnet 013B,584
E01000230,Barnet 013C,659
E01000231,Barnet 013D,619
E01000232,Barnet 013E,705
E01000233,Barnet 013F,658
E01000234,Barnet 021D,674
E01000235,Barnet 021E,655
E01000236,Barnet 034A,698
E01000237,Barnet 032A,727
E01000238,Barnet 034B,644
E01000239,Barnet 031A,934
E01000240,Barnet 031B,626
E01000241,Barnet 031C,702
E01000242,Barnet 032B,595
E01000243,Barnet 032C,901
E01000244,Barnet 032D,625
E01000245,Barnet 032E,877
E01000246,Barnet 002B,643
E01000247,Barnet 002C,731
E01000248,Barnet 001A,718
E01000249,Barnet 001B,619
E01000250,Barnet 001C,1145
E01000251,Barnet 002D,1057
E01000252,Barnet 002E,793
E01000253,Barnet 007B,707
E01000254,Barnet 001D,633
