Lower layer Super Output Areas Code,Lower layer Super Output Areas,Observation
E01000941,Camden 029D,532
E01000942,Camden 029C,508
E01000943,Camden 029F,438
E01000944,Camden 023A,566
E01000946,Camden 021B,686
E01000947,Camden 021C,816
E01000948,Camden 021D,745
E01000949,Camden 023C,694
E01000951,Camden 023E,562
E01000952,Camden 022A,657
E01000954,Camden 022C,649
E01000955,Camden 022D,536
E01000956,Camden 022E,604
E01000957,Camden 019C,652
E01000958,Camden 019D,954
E01000959,Camden 019E,686
E01000960,Camden 017A,892
E01000961,Camden 017B,725
E01000962,Camden 016A,757
E01000963,Camden 017C,827
E01000964,Camden 016B,753
E01000965,Camden 016C,814
E01000966,Camden 016D,699
E01000967,Camden 017D,638
E01000968,Camden 016E,728
E01000969,Camden 010A,890
E01000970,Camden 010B,760
E01000971,Camden 010C,579
E01000972,Camden 010D,958
E01000973,Camden 010E,1121
E01000974,Camden 013E,764
E01000975,Croydon 022A,1039
E01000976,Croydon 022B,872
E01000977,Croydon 022C,947
E01000978,Croydon 022D,838
E01000979,Croydon 022E,775
E01000980,Croydon 017A,578
E01000981,Croydon 017B,658
E01000982,Croydon 017C,674
E01000983,Croydon 017D,724
E01000984,Croydon 022F,785
E01000985,Croydon 021A,520
E01000986,Croydon 021B,688
E01000987,Croydon 021C,514
E01000989,Croydon 018A,629
E01000990,Croydon 045A,535
E01000991,Croydon 018B,685
E01000992,Croydon 014A,685
E01000993,Croydon 021D,604
E01000994,Croydon 009A,536
E01000995,Croydon 009B,605
E01000996,Croydon 009C,448
E01000997,Croydon 009D,490
E01000998,Croydon 010A,587
E01000999,Croydon 009E,433
E01001000,Croydon 010B,510
E01001001,Croydon 013A,582
E01001002,Croydon 009F,523
E01001003,Croydon 010C,596
E01001004,Croydon 015A,781
E01001005,Croydon 019A,600
E01001006,Croydon 016A,690
E01001007,Croydon 016B,597
E01001008,Croydon 019B,530
E01001009,Croydon 019C,667
E01001010,Croydon 019D,607
E01001011,Croydon 019E,859
E01001012,Croydon 020A,810
E01001013,Croydon 020B,903
E01001015,Croydon 041A,556
E01001016,Croydon 041B,653
E01001017,Croydon 043A,630
E01001018,Croydon 044A,634
E01001019,Croydon 044B,593
E01001020,Croydon 044C,642
E01001021,Croydon 044D,548
E01001022,Croydon 044E,620
E01001023,Croydon 041C,1119
E01001024,Croydon 043B,526
E01001025,Croydon 043C,492
E01001026,Croydon 043D,670
E01001027,Croydon 043E,990
E01001028,Croydon 038A,540
E01001029,Croydon 038B,637
E01001030,Croydon 038C,493
E01001031,Croydon 038D,515
E01001032,Croydon 035A,556
E01001033,Croydon 031A,682
E01001034,Croydon 031B,665
E01001035,Croydon 047C,838
E01001036,Croydon 029A,661
E01001037,Croydon 029B,682
E01001038,Croydon 029C,949
E01001039,Croydon 029D,599
E01001040,Croydon 029E,744
E01001041,Croydon 031C,727
E01001042,Croydon 024B,944
E01001044,Croydon 023A,835
E01001046,Croydon 023B,798
E01001047,Croydon 047A,845
E01001049,Croydon 023C,520
E01001050,Croydon 023D,790
E01001051,Croydon 030A,565
E01001052,Croydon 030B,456
E01001053,Croydon 032A,534
E01001054,Croydon 030C,591
E01001055,Croydon 032B,575
E01001056,Croydon 030D,576
E01001057,Croydon 030E,601
E01001058,Croydon 034A,525
E01001059,Croydon 034B,668
E01001060,Croydon 034C,644
E01001061,Croydon 034D,652
E01001062,Croydon 026A,557
E01001063,Croydon 026B,577
E01001064,Croydon 026C,614
E01001065,Croydon 034E,650
E01001066,Croydon 034F,525
E01001067,Croydon 041D,576
E01001068,Croydon 042A,753
E01001069,Croydon 040A,506
E01001070,Croydon 040B,647
E01001071,Croydon 042B,723
E01001072,Croydon 042C,539
E01001073,Croydon 037A,581
E01001074,Croydon 041E,816
E01001075,Croydon 040C,644
E01001076,Croydon 036A,568
E01001077,Croydon 032C,516
E01001078,Croydon 032D,510
E01001079,Croydon 036B,588
E01001080,Croydon 036C,585
E01001081,Croydon 036D,496
E01001082,Croydon 032E,523
E01001083,Croydon 003A,545
E01001084,Croydon 002A,665
E01001085,Croydon 004A,648
E01001086,Croydon 003B,590
E01001087,Croydon 003C,1130
E01001088,Croydon 004B,575
E01001089,Croydon 004C,647
E01001090,Croydon 004D,886
E01001091,Croydon 004E,562
E01001092,Croydon 037B,700
E01001093,Croydon 037C,711
E01001094,Croydon 038E,565
E01001095,Croydon 031D,595
E01001096,Croydon 037D,533
E01001097,Croydon 037E,1171
E01001098,Croydon 037F,535
E01001099,Croydon 040D,599
E01001100,Croydon 031E,602
E01001101,Croydon 035B,506
E01001102,Croydon 035C,634
E01001103,Croydon 039A,644
E01001104,Croydon 042D,642
E01001105,Croydon 039B,625
E01001106,Croydon 039C,561
E01001107,Croydon 035D,668
E01001108,Croydon 035E,642
E01001109,Croydon 013B,963
E01001110,Croydon 020D,893
E01001111,Croydon 010D,641
E01001112,Croydon 013C,854
E01001113,Croydon 013D,858
E01001114,Croydon 013E,602
E01001115,Croydon 015B,649
E01001116,Croydon 013F,606
E01001118,Croydon 020E,880
E01001119,Croydon 034G,579
E01001120,Croydon 033A,508
E01001121,Croydon 039D,540
E01001122,Croydon 033B,459
E01001123,Croydon 033C,601
E01001124,Croydon 033D,603
E01001125,Croydon 033E,609
E01001126,Croydon 034H,595
E01001127,Croydon 025A,586
E01001128,Croydon 025B,569
E01001129,Croydon 026D,506
E01001130,Croydon 025C,558
E01001131,Croydon 018C,658
E01001132,Croydon 018D,644
E01001133,Croydon 026E,729
E01001134,Croydon 018E,679
E01001135,Croydon 025D,638
E01001136,Croydon 007A,983
E01001137,Croydon 001A,971
E01001138,Croydon 001B,719
E01001139,Croydon 007B,713
E01001140,Croydon 007C,759
E01001141,Croydon 008A,569
E01001142,Croydon 007D,747
E01001143,Croydon 008B,825
E01001144,Croydon 007E,800
E01001145,Croydon 008C,871
E01001146,Croydon 006A,605
E01001147,Croydon 005A,670
E01001148,Croydon 005B,702
E01001149,Croydon 006B,621
E01001150,Croydon 006C,638
E01001151,Croydon 005C,671
E01001152,Croydon 005D,789
E01001153,Croydon 006D,615
E01001154,Croydon 006E,727
E01001155,Croydon 010E,785
E01001156,Croydon 001C,720
E01001157,Croydon 002B,623
E01001158,Croydon 005E,670
E01001159,Croydon 002C,740
E01001160,Croydon 002D,627
E01001161,Croydon 003D,551
E01001162,Croydon 001D,801
E01001163,Croydon 002E,835
E01001164,Croydon 001E,992
E01001165,Croydon 024C,725
E01001166,Croydon 024D,876
E01001167,Croydon 028A,819
E01001168,Croydon 024E,733
E01001169,Croydon 028B,639
E01001170,Croydon 047D,895
E01001171,Croydon 028C,681
E01001172,Croydon 028D,729
E01001173,Croydon 028E,1120
E01001174,Croydon 011A,510
E01001175,Croydon 011B,555
E01001176,Croydon 011C,620
E01001177,Croydon 016C,554
E01001178,Croydon 015D,601
E01001179,Croydon 016D,548
E01001180,Croydon 016E,674
E01001181,Croydon 015E,889
E01001182,Croydon 011D,461
E01001183,Croydon 011E,635
E01001184,Croydon 011F,446
E01001185,Croydon 014B,744
E01001186,Croydon 014C,816
E01001187,Croydon 017E,810
E01001188,Croydon 014D,748
E01001189,Croydon 045B,459
E01001190,Croydon 045C,602
E01001191,Croydon 008D,863
E01001192,Croydon 008E,689
E01001193,Croydon 014E,567
E01001194,Croydon 045D,617
E01001195,Ealing 021A,617
E01001196,Ealing 015A,695
E01001197,Ealing 021B,719
E01001198,Ealing 021C,595
E01001199,Ealing 021D,671
E01001200,Ealing 025A,630
E01001201,Ealing 025B,630
E01001202,Ealing 025C,999
E01001203,Ealing 025D,854
E01001204,Ealing 018A,594
E01001205,Ealing 018B,654
E01001206,Ealing 018C,553
E01001207,Ealing 018D,758
E01001208,Ealing 018E,508
E01001209,Ealing 013A,652
E01001210,Ealing 016A,757
E01001211,Ealing 013B,718
E01001212,Ealing 018F,724
E01001213,Ealing 023A,536
E01001214,Ealing 023B,500
E01001215,Ealing 023C,620
E01001216,Ealing 023D,495
E01001217,Ealing 014A,440
E01001218,Ealing 012A,725
E01001219,Ealing 029A,765
E01001220,Ealing 029B,469
E01001223,Ealing 041B,633
E01001224,Ealing 019B,579
E01001225,Ealing 041A,847
E01001226,Ealing 019C,671
E01001227,Ealing 019D,603
E01001228,Ealing 019E,826
E01001229,Ealing 031A,593
E01001230,Ealing 031B,607
E01001231,Ealing 027A,786
E01001232,Ealing 031C,616
E01001233,Ealing 031D,621
E01001234,Ealing 027B,608
E01001235,Ealing 042D,780
E01001236,Ealing 042C,686
E01001237,Ealing 031E,672
E01001239,Ealing 015C,564
E01001240,Ealing 024A,657
E01001241,Ealing 024B,656
E01001242,Ealing 024C,612
E01001243,Ealing 024D,960
E01001244,Ealing 024E,1171
E01001245,Ealing 024F,921
E01001246,Ealing 015D,818
E01001247,Ealing 015E,813
E01001248,Ealing 035A,566
E01001249,Ealing 028A,1090
E01001250,Ealing 028B,978
E01001251,Ealing 030A,735
E01001252,Ealing 030B,966
E01001253,Ealing 030C,774
E01001254,Ealing 030D,744
E01001255,Ealing 028C,589
E01001257,Ealing 008A,810
E01001258,Ealing 010B,649
E01001259,Ealing 014B,516
E01001260,Ealing 012B,691
E01001261,Ealing 012C,858
E01001262,Ealing 010C,542
E01001263,Ealing 010D,736
E01001264,Ealing 010E,627
E01001265,Ealing 006A,631
E01001266,Ealing 006B,597
E01001267,Ealing 006C,820
E01001268,Ealing 012D,639
E01001269,Ealing 001A,794
E01001270,Ealing 004A,585
E01001271,Ealing 001B,633
E01001272,Ealing 006D,590
E01001273,Ealing 041C,584
E01001274,Ealing 041E,589
E01001275,Ealing 041D,907
E01001276,Ealing 011A,697
E01001277,Ealing 011B,717
E01001278,Ealing 011C,800
E01001279,Ealing 013C,556
E01001280,Ealing 011D,775
E01001281,Ealing 013D,618
E01001282,Ealing 016B,614
E01001283,Ealing 016C,774
E01001284,Ealing 022A,587
E01001285,Ealing 016D,576
E01001286,Ealing 016E,613
E01001287,Ealing 016F,505
E01001288,Ealing 022B,536
E01001289,Ealing 022C,477
E01001290,Ealing 022D,795
E01001291,Ealing 014C,510
E01001292,Ealing 014D,508
E01001293,Ealing 014E,568
E01001294,Ealing 017A,570
E01001295,Ealing 017B,526
E01001296,Ealing 017C,417
E01001297,Ealing 017D,514
E01001298,Ealing 017E,583
E01001299,Ealing 035B,644
E01001300,Ealing 039A,599
E01001301,Ealing 039B,809
E01001302,Ealing 039C,618
E01001303,Ealing 032A,649
E01001304,Ealing 039D,698
E01001305,Ealing 035C,633
E01001306,Ealing 035D,697
E01001307,Ealing 002A,607
E01001308,Ealing 002B,685
E01001309,Ealing 001C,598
E01001310,Ealing 001D,756
E01001311,Ealing 001E,954
E01001312,Ealing 002C,607
E01001313,Ealing 002D,519
E01001314,Ealing 002E,511
E01001315,Ealing 003A,500
E01001316,Ealing 003B,613
E01001317,Ealing 003C,727
E01001318,Ealing 003D,717
E01001319,Ealing 004B,507
E01001320,Ealing 003E,547
E01001321,Ealing 003F,793
E01001322,Ealing 004C,734
E01001323,Ealing 004D,774
E01001324,Ealing 008B,644
E01001325,Ealing 009A,620
E01001326,Ealing 008C,675
E01001327,Ealing 009B,591
E01001328,Ealing 009C,593
E01001329,Ealing 009D,639
E01001330,Ealing 008D,644
E01001331,Ealing 009E,629
E01001332,Ealing 008E,578
E01001333,Ealing 038A,714
E01001334,Ealing 029C,517
E01001335,Ealing 038B,516
E01001336,Ealing 038C,566
E01001337,Ealing 029D,764
E01001338,Ealing 029E,535
E01001339,Ealing 029F,700
E01001340,Ealing 029G,546
E01001341,Ealing 005A,588
E01001342,Ealing 005B,641
E01001343,Ealing 005C,478
E01001344,Ealing 007A,902
E01001345,Ealing 005D,524
E01001346,Ealing 007B,680
E01001347,Ealing 007C,686
E01001348,Ealing 007D,669
E01001349,Ealing 006E,490
E01001350,Ealing 027C,615
E01001351,Ealing 025E,833
E01001352,Ealing 027D,644
E01001353,Ealing 033A,634
E01001354,Ealing 027E,890
E01001355,Ealing 033B,890
E01001356,Ealing 033C,632
E01001357,Ealing 033D,1139
E01001358,Ealing 033E,821
E01001359,Ealing 026A,623
E01001360,Ealing 026B,553
E01001361,Ealing 023E,604
E01001362,Ealing 026C,716
E01001363,Ealing 026D,527
E01001364,Ealing 026E,550
E01001365,Ealing 026F,677
E01001366,Ealing 044C,564
E01001367,Ealing 043B,747
E01001368,Ealing 044D,471
E01001369,Ealing 038D,553
E01001370,Ealing 044A,570
E01001371,Ealing 044B,618
E01001372,Ealing 043C,696
E01001373,Ealing 043A,585
E01001374,Ealing 040A,902
E01001375,Ealing 034A,708
E01001376,Ealing 040B,734
E01001377,Ealing 034B,696
E01001379,Ealing 034C,717
E01001380,Ealing 040C,1058
E01001381,Ealing 034D,857
E01001382,Ealing 032B,563
E01001383,Ealing 028D,649
E01001384,Ealing 032C,700
E01001385,Ealing 032D,666
E01001386,Ealing 031F,754
E01001387,Ealing 032E,725
E01001388,Ealing 028E,669
E01001389,Ealing 028F,758
E01001390,Enfield 036A,714
E01001391,Enfield 036B,733
E01001392,Enfield 032A,667
E01001393,Enfield 036C,818
E01001394,Enfield 035A,670
E01001395,Enfield 035B,598
E01001396,Enfield 036D,524
E01001397,Enfield 035C,770
E01001398,Enfield 021A,498
E01001399,Enfield 021B,500
E01001400,Enfield 021C,574
E01001401,Enfield 016A,500
E01001402,Enfield 021D,699
E01001403,Enfield 021E,642
E01001404,Enfield 026A,515
E01001405,Enfield 015A,830
E01001406,Enfield 015B,651
E01001407,Enfield 005A,594
E01001408,Enfield 004A,709
E01001409,Enfield 005B,782
E01001410,Enfield 005C,815
E01001411,Enfield 004B,741
E01001412,Enfield 004C,658
E01001413,Enfield 004D,610
E01001414,Enfield 004E,693
E01001415,Enfield 011A,871
E01001416,Enfield 013A,592
E01001417,Enfield 011B,665
E01001418,Enfield 011C,722
E01001419,Enfield 020A,768
E01001420,Enfield 020B,633
E01001421,Enfield 020C,621
E01001422,Enfield 011D,615
E01001423,Enfield 027A,624
E01001424,Enfield 030A,479
E01001425,Enfield 027B,739
E01001426,Enfield 030B,618
E01001427,Enfield 030C,643
E01001428,Enfield 027C,566
E01001429,Enfield 030D,1013
E01001430,Enfield 030E,649
E01001431,Enfield 033A,654
E01001432,Enfield 033B,732
E01001433,Enfield 007A,576
E01001434,Enfield 007B,539
E01001435,Enfield 007C,485
E01001436,Enfield 007D,651
E01001437,Enfield 014A,894
E01001438,Enfield 007E,548
E01001439,Enfield 006A,768
E01001440,Enfield 012A,575
E01001441,Enfield 006B,623
E01001442,Enfield 002A,637
E01001444,Enfield 001A,649
E01001445,Enfield 003B,1142
E01001446,Enfield 001B,706
E01001447,Enfield 003C,741
E01001448,Enfield 003D,666
E01001449,Enfield 003E,542
E01001450,Enfield 015C,1113
E01001451,Enfield 017A,694
E01001452,Enfield 017B,481
E01001453,Enfield 017C,649
E01001454,Enfield 017D,666
E01001455,Enfield 021F,562
E01001456,Enfield 022A,493
E01001457,Enfield 010A,843
E01001458,Enfield 037A,641
E01001459,Enfield 024A,559
E01001460,Enfield 024B,670
E01001461,Enfield 027D,627
E01001462,Enfield 024C,528
E01001463,Enfield 031A,512
E01001464,Enfield 027E,420
E01001465,Enfield 031B,500
E01001466,Enfield 031C,623
E01001467,Enfield 031D,665
E01001468,Enfield 010B,575
E01001469,Enfield 008A,671
E01001470,Enfield 013B,650
E01001471,Enfield 010C,967
E01001472,Enfield 010D,756
E01001473,Enfield 013C,546
E01001474,Enfield 010E,860
E01001475,Enfield 013D,637
E01001476,Enfield 018A,611
E01001477,Enfield 018B,612
E01001478,Enfield 016B,571
E01001479,Enfield 023A,641
E01001480,Enfield 024D,578
E01001481,Enfield 018C,558
E01001482,Enfield 023B,657
E01001483,Enfield 025A,533
E01001484,Enfield 016C,500
E01001485,Enfield 025B,665
E01001486,Enfield 025C,804
E01001487,Enfield 023C,667
E01001488,Enfield 024E,664
E01001489,Enfield 023D,655
E01001491,Enfield 023E,694
E01001492,Enfield 025E,666
E01001493,Enfield 026B,731
E01001494,Enfield 026C,502
E01001495,Enfield 029A,722
E01001496,Enfield 026D,641
E01001497,Enfield 031E,508
E01001498,Enfield 029B,697
E01001499,Enfield 031F,535
E01001500,Enfield 035D,551
E01001501,Enfield 036E,921
E01001502,Enfield 018D,659
E01001503,Enfield 018E,646
E01001504,Enfield 012B,561
E01001505,Enfield 012C,597
E01001507,Enfield 012D,812
E01001508,Enfield 012E,785
E01001509,Enfield 014C,648
E01001511,Enfield 016D,670
E01001512,Enfield 015D,992
E01001513,Enfield 012F,724
E01001514,Enfield 016E,668
E01001515,Enfield 015E,744
E01001516,Enfield 005D,669
E01001517,Enfield 006C,686
E01001518,Enfield 016F,660
E01001520,Enfield 019A,696
E01001521,Enfield 028A,681
E01001522,Enfield 019B,746
E01001523,Enfield 019C,723
E01001524,Enfield 019D,549
E01001525,Enfield 020E,758
E01001526,Enfield 019E,636
E01001527,Enfield 036F,785
E01001528,Enfield 032B,684
E01001529,Enfield 032C,653
E01001530,Enfield 032D,618
E01001531,Enfield 028B,530
E01001532,Enfield 028C,664
E01001533,Enfield 028D,538
E01001534,Enfield 032E,604
E01001535,Enfield 028E,496
E01001536,Enfield 008B,848
E01001537,Enfield 005E,689
E01001538,Enfield 009A,597
E01001539,Enfield 009B,640
E01001540,Enfield 008C,798
E01001541,Enfield 008D,646
E01001542,Enfield 008E,656
E01001543,Enfield 009C,584
E01001544,Enfield 009D,639
E01001545,Enfield 002B,664
E01001546,Enfield 001C,610
E01001547,Enfield 002C,724
E01001548,Enfield 002D,674
E01001549,Enfield 006D,813
E01001550,Enfield 006E,577
E01001551,Enfield 002E,640
E01001552,Enfield 001D,662
E01001553,Enfield 037B,546
E01001554,Enfield 037C,686
E01001555,Enfield 033C,774
E01001556,Enfield 035E,537
E01001557,Enfield 033D,549
E01001558,Enfield 033E,604
E01001559,Enfield 033F,675
E01001560,Enfield 035F,512
E01001562,Enfield 037D,827
E01001563,Enfield 029C,700
E01001564,Enfield 022B,639
E01001565,Enfield 029D,707
E01001566,Enfield 029E,627
E01001567,Enfield 022C,608
E01001568,Enfield 022D,567
E01001569,Enfield 022E,750
E01001570,Enfield 026E,725
E01001571,Greenwich 008A,630
E01001572,Greenwich 008B,651
E01001573,Greenwich 008C,522
E01001574,Greenwich 008D,751
E01001575,Greenwich 003A,621
E01001576,Greenwich 003B,670
E01001577,Greenwich 003C,726
E01001578,Greenwich 003D,849
E01001579,Greenwich 003E,624
E01001580,Greenwich 021A,792
E01001581,Greenwich 016A,729
E01001582,Greenwich 021B,660
E01001583,Greenwich 021C,767
E01001584,Greenwich 021D,664
E01001585,Greenwich 016B,602
E01001586,Greenwich 016C,663
E01001587,Greenwich 016D,952
E01001588,Greenwich 012A,638
E01001589,Greenwich 012B,677
E01001590,Greenwich 014A,714
E01001591,Greenwich 012C,808
E01001592,Greenwich 014B,736
E01001593,Greenwich 014C,765
E01001594,Greenwich 014D,834
E01001595,Greenwich 012D,731
E01001596,Greenwich 032A,638
E01001597,Greenwich 031A,633
E01001598,Greenwich 031B,606
E01001599,Greenwich 032B,603
E01001600,Greenwich 032C,638
E01001601,Greenwich 032D,569
E01001602,Greenwich 031C,715
E01001603,Greenwich 031D,739
E01001604,Greenwich 027A,600
E01001605,Greenwich 023A,568
E01001606,Greenwich 023B,608
E01001607,Greenwich 027B,669
E01001608,Greenwich 027C,582
E01001609,Greenwich 027D,740
E01001610,Greenwich 023C,704
E01001611,Greenwich 023D,712
E01001613,Greenwich 028A,799
E01001614,Greenwich 028B,546
E01001615,Greenwich 028C,941
E01001617,Greenwich 028D,734
E01001618,Greenwich 030C,756
E01001619,Greenwich 030D,828
E01001620,Greenwich 025A,502
E01001621,Greenwich 025B,668
E01001623,Greenwich 025C,669
E01001624,Greenwich 025D,626
E01001625,Greenwich 025E,618
E01001629,Greenwich 009A,838
E01001631,Greenwich 007B,789
E01001632,Greenwich 007C,664
E01001633,Greenwich 009B,775
E01001634,Greenwich 009C,657
E01001635,Greenwich 007D,641
E01001636,Greenwich 007E,599
E01001637,Greenwich 009D,688
E01001638,Greenwich 038A,679
E01001641,Greenwich 038B,816
E01001642,Greenwich 038C,757
E01001644,Greenwich 038D,1180
E01001645,Greenwich 022A,706
E01001646,Greenwich 019A,1130
E01001647,Greenwich 022B,568
E01001648,Greenwich 022C,692
E01001649,Greenwich 022D,574
E01001650,Greenwich 019B,610
E01001651,Greenwich 019C,744
E01001652,Greenwich 019D,706
E01001653,Greenwich 029A,598
E01001654,Greenwich 029B,569
E01001655,Greenwich 029C,634
E01001656,Greenwich 034A,585
E01001657,Greenwich 034B,704
E01001658,Greenwich 034C,730
E01001659,Greenwich 034D,551
E01001660,Greenwich 029D,564
E01001661,Greenwich 029E,578
E01001664,Greenwich 037B,884
E01001665,Greenwich 037C,771
E01001666,Greenwich 041G,743
E01001669,Greenwich 033A,917
E01001671,Greenwich 033B,683
E01001672,Greenwich 006A,642
E01001673,Greenwich 006B,799
E01001674,Greenwich 006C,711
E01001675,Greenwich 006D,701
E01001676,Greenwich 033C,674
E01001677,Greenwich 006E,728
E01001678,Greenwich 017A,645
E01001679,Greenwich 020A,553
E01001680,Greenwich 020B,617
E01001681,Greenwich 020C,526
E01001682,Greenwich 020D,551
E01001683,Greenwich 017B,599
E01001684,Greenwich 017C,566
E01001685,Greenwich 017D,652
E01001686,Greenwich 020E,752
E01001687,Greenwich 002A,513
E01001688,Greenwich 002B,936
E01001690,Greenwich 001A,812
E01001692,Greenwich 001B,558
E01001693,Greenwich 001C,613
E01001694,Greenwich 001D,611
E01001695,Greenwich 011A,562
E01001696,Greenwich 011B,1143
E01001697,Greenwich 011C,935
E01001698,Greenwich 015A,755
E01001699,Greenwich 015B,664
E01001700,Greenwich 011D,798
E01001701,Greenwich 015C,776
E01001702,Greenwich 015D,440
E01001703,Greenwich 011E,763
E01001704,Greenwich 011F,619
E01001705,Greenwich 005A,848
E01001708,Greenwich 005C,684
E01001710,Greenwich 005D,652
E01001712,Greenwich 042A,912
E01001714,Hackney 002A,855
E01001715,Hackney 007A,659
E01001716,Hackney 007B,836
E01001717,Hackney 007C,427
E01001718,Hackney 007D,825
E01001719,Hackney 007E,697
E01001720,Hackney 007F,789
E01001722,Hackney 029A,922
E01001723,Hackney 006A,681
E01001724,Hackney 006B,1070
E01001725,Hackney 004A,567
E01001726,Hackney 004B,464
E01001727,Hackney 006C,561
E01001728,Hackney 029B,588
E01001729,Hackney 019A,499
E01001730,Hackney 019B,1131
E01001731,Hackney 017A,1156
E01001732,Hackney 019C,756
E01001733,Hackney 015A,735
E01001734,Hackney 017B,852
E01001735,Hackney 019D,652
E01001736,Hackney 012A,678
E01001737,Hackney 012B,706
E01001738,Hackney 012C,793
E01001739,Hackney 012D,884
E01001740,Hackney 014A,626
E01001741,Hackney 009A,576
E01001742,Hackney 008A,781
E01001744,Hackney 031A,815
E01001745,Hackney 016A,914
E01001746,Hackney 016B,599
E01001747,Hackney 014B,1076
E01001749,Hackney 020B,670
E01001750,Hackney 031D,926
E01001751,Hackney 031B,647
E01001753,Hackney 025B,626
E01001755,Hackney 025D,692
E01001756,Hackney 030C,956
E01001757,Hackney 016C,608
E01001758,Hackney 016D,1081
E01001759,Hackney 016E,724
E01001760,Hackney 017C,871
E01001761,Hackney 016F,924
E01001762,Hackney 017D,799
E01001763,Hackney 020C,816
E01001764,Hackney 010A,673
E01001765,Hackney 010B,750
E01001767,Hackney 010D,629
E01001768,Hackney 006D,748
E01001769,Hackney 006E,632
E01001770,Hackney 010E,771
E01001772,Hackney 024A,766
E01001773,Hackney 025E,1042
E01001774,Hackney 024B,854
E01001775,Hackney 024C,704
E01001776,Hackney 025F,752
E01001777,Hackney 033A,1147
E01001780,Hackney 032D,851
E01001781,Hackney 026B,684
E01001783,Hackney 026D,669
E01001784,Hackney 032A,757
E01001785,Hackney 015B,585
E01001786,Hackney 013A,842
E01001787,Hackney 013B,648
E01001788,Hackney 013C,647
E01001789,Hackney 015C,625
E01001790,Hackney 013D,584
E01001791,Hackney 015D,493
E01001792,Hackney 011A,715
E01001793,Hackney 011B,606
E01001794,Hackney 011C,644
E01001795,Hackney 011D,515
E01001796,Hackney 011E,634
E01001798,Hackney 028A,726
E01001799,Hackney 003A,449
E01001800,Hackney 004C,661
E01001801,Hackney 008B,546
E01001802,Hackney 003B,458
E01001803,Hackney 008C,684
E01001804,Hackney 003C,459
E01001805,Hackney 009B,507
E01001806,Hackney 008D,674
E01001807,Hackney 003D,651
E01001808,Hackney 001A,543
E01001809,Hackney 001B,570
E01001811,Hackney 002D,670
E01001812,Hackney 003E,568
E01001813,Hackney 002E,794
E01001814,Hackney 001C,554
E01001815,Hackney 024D,668
E01001816,Hackney 020D,618
E01001819,Hackney 020E,747
E01001820,Hackney 024E,575
E01001821,Hackney 024F,585
E01001822,Hackney 029C,676
E01001823,Hackney 001D,520
E01001824,Hackney 004D,505
E01001825,Hackney 001E,402
E01001826,Hackney 004E,526
E01001827,Hackney 029D,596
E01001828,Hackney 028B,816
E01001829,Hackney 009C,663
E01001830,Hackney 014C,895
E01001831,Hackney 009D,785
E01001832,Hackney 009E,624
E01001833,Hackney 014D,921
E01001834,Hackney 014E,806
E01001835,Hackney 014F,492
E01001836,Hackney 022A,813
E01001837,Hackney 023B,637
E01001838,Hackney 019E,696
E01001839,Hackney 023C,1039
E01001840,Hackney 022B,660
E01001841,Hackney 022C,632
E01001842,Hackney 023D,643
E01001843,Hackney 023E,478
E01001844,Hackney 022D,709
E01001845,Hackney 022E,725
E01001846,Hackney 018A,536
E01001847,Hackney 018B,556
E01001848,Hackney 018C,697
E01001849,Hackney 018D,1016
E01001850,Hackney 019F,707
E01001851,Hammersmith and Fulham 010A,647
E01001852,Hammersmith and Fulham 007A,920
E01001853,Hammersmith and Fulham 007B,664
E01001854,Hammersmith and Fulham 007C,883
E01001855,Hammersmith and Fulham 010B,883
E01001856,Hammersmith and Fulham 010C,722
E01001857,Hammersmith and Fulham 007D,782
E01001858,Hammersmith and Fulham 006A,724
E01001859,Hammersmith and Fulham 008A,1149
E01001860,Hammersmith and Fulham 006B,773
E01001861,Hammersmith and Fulham 006C,627
E01001862,Hammersmith and Fulham 005A,837
E01001863,Hammersmith and Fulham 006D,627
E01001864,Hammersmith and Fulham 006E,695
E01001865,Hammersmith and Fulham 008B,668
E01001866,Hammersmith and Fulham 012A,656
E01001867,Hammersmith and Fulham 012B,536
E01001868,Hammersmith and Fulham 012C,593
E01001869,Hammersmith and Fulham 010D,588
E01001870,Hammersmith and Fulham 012D,911
E01001871,Hammersmith and Fulham 012E,704
E01001872,Hammersmith and Fulham 012F,714
E01001873,Hammersmith and Fulham 010E,707
E01001875,Hammersmith and Fulham 001B,655
E01001876,Hammersmith and Fulham 001C,812
E01001877,Hammersmith and Fulham 001D,609
E01001878,Hammersmith and Fulham 001E,590
E01001879,Hammersmith and Fulham 019A,635
E01001880,Hammersmith and Fulham 017A,744
E01001881,Hammersmith and Fulham 017B,821
E01001882,Hammersmith and Fulham 017C,709
E01001883,Hammersmith and Fulham 017D,943
E01001884,Hammersmith and Fulham 017E,918
E01001885,Hammersmith and Fulham 015A,517
E01001886,Hammersmith and Fulham 016A,629
E01001887,Hammersmith and Fulham 016B,636
E01001888,Hammersmith and Fulham 018A,614
E01001889,Hammersmith and Fulham 014A,576
E01001890,Hammersmith and Fulham 016C,741
E01001891,Hammersmith and Fulham 018B,1154
E01001892,Hammersmith and Fulham 016D,581
E01001893,Hammersmith and Fulham 013A,641
E01001894,Hammersmith and Fulham 013B,705
E01001895,Hammersmith and Fulham 009A,643
E01001896,Hammersmith and Fulham 009B,706
E01001897,Hammersmith and Fulham 009C,558
E01001898,Hammersmith and Fulham 013C,951
